State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Total_Power_Parity,Urban_Households,Female_Workers,Male_Workers,Total_Education,Literate_Education,Illiterate_Education,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Rural_Households,Urban_Households,sex_ratio,literacy_rate
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,19497,644,9524,16631,23591,86662,65119,21543,9938,13713,13968,10937,9498,6540,525,27854,2289,18254,69,776,30,49393,549,61993,25334,11802,85,19497,9524,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,18603,348,1092,19615,18429,96280,53659,42621,12661,15054,12264,6997,4353,2031,299,4859,471,51189,43,121,81,34158,1154,64379,20713,6836,148,18603,1092,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,33599,348,11372,22035,38910,143995,91574,52421,19306,25179,20643,13070,7612,5180,584,99020,3846,10684,210,24452,104,7277,133,94890,35493,15195,148,33599,11372,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,12000,348,3950,8224,14102,47547,33141,14406,5875,7957,7351,5508,3570,2795,85,28915,2247,9213,33,2932,19,10393,328,35140,13254,5652,34,12000,3950,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,18112,348,5365,12863,17339,71307,54034,17273,8492,10821,11661,9861,7674,5230,295,9551,1482,34402,27,193,13,37085,277,55258,20305,7412,55,18112,5365,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,20308,644,30180,24509,41263,141175,110815,30360,15368,21956,21376,20007,17342,13840,926,57027,6148,84397,310,4768,139,22586,1198,120592,43812,11856,313,20308,30180,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,10730,348,2452,9007,19554,39041,19838,19203,4904,4730,4029,2140,1989,1379,667,11842,787,776,1164,34920,72,349,67,30709,13849,5399,20,10730,2452,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,18420,348,6500,22624,27545,107734,57106,50628,13585,16989,12077,7834,4305,2134,182,20682,1103,83361,61,778,43,5325,622,71785,25669,14423,98,18420,6500,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,8569,348,2182,7676,9968,32201,20992,11209,3952,5584,4915,2935,2211,1349,46,5261,411,5643,27,2577,7,20967,427,21090,8910,5252,68,8569,2182,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,14542,348,4672,15472,17898,93154,64790,28364,10219,16118,15339,10348,8017,4276,473,13474,521,8779,28,297,11,59449,889,56054,20055,7230,109,14542,4672,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,17889,348,6306,14180,28313,65799,40193,25606,8836,10317,8428,5633,3987,2693,299,31265,1970,8466,328,36087,71,5556,204,53026,22362,8493,66,17889,6306,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,22272,348,8503,20021,29156,102176,74220,27956,14227,17675,15908,11441,8418,6030,521,15881,2218,29969,577,3311,49,60005,264,70415,28305,13469,85,22272,8503,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,447189,348,52192,116527,445297,1747752,1083591,664161,210607,307884,300845,121924,87377,46947,8007,492966,1198036,1020,112,49,399,14,1026,1072312,405046,215355,909,447189,52192,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,181923,348,38470,58264,197542,740152,479431,260721,93591,138294,133643,55924,35491,20221,2267,359145,371033,5924,384,236,871,9,1202,458796,184849,94939,220,181923,38470,97.0,59.0
